word,spelling_status
रात,correct spelling
था,correct spelling
अंकल,correct spelling
प्रोजेक्ट,correct spelling
हो,correct spelling
लगता,correct spelling
बदक,incorrect spelling
कि,correct spelling
जाने,correct spelling
मिस्टेक,correct spelling
रहा,correct spelling
जाते,correct spelling
आराम,correct spelling
रहने,correct spelling
पे,correct spelling
छोड़,correct spelling
मेको,incorrect spelling
पता,correct spelling
अराम,incorrect spelling
सुकुन,correct spelling
साथ,correct spelling
वह,correct spelling
वहा,correct spelling
दिए,correct spelling
रह,correct spelling
सकती,correct spelling
सब,incorrect spelling
जंगल,correct spelling
करो,correct spelling
कैसे,incorrect spelling
बात,correct spelling
का,correct spelling
काम,correct spelling
आती,incorrect spelling
बीत,correct spelling
दी,correct spelling
हां,correct spelling
सर,correct spelling
छोड़ने,correct spelling
आने,correct spelling
जंगली,correct spelling
पटक,incorrect spelling
आवाज,correct spelling
नीचे,correct spelling
वाला,correct spelling
पाई,correct spelling
भर,correct spelling
हमें,correct spelling
समझ,incorrect spelling
बज,correct spelling
जाएंगे,correct spelling
जी,correct spelling
को,correct spelling
लहरा,correct spelling
एक,correct spelling
सुबह,correct spelling
आपको,incorrect spelling
बाहर,correct spelling
उठे,incorrect spelling
गया,correct spelling
अमेजन,correct spelling
हूं,correct spelling
मतलब,correct spelling
बाहरी,correct spelling
रहे,correct spelling
लैंड,correct spelling
ने,correct spelling
क्योंकि,correct spelling
दिवोग,correct spelling
लाइट,correct spelling
लोग।,incorrect spelling
नातो,correct spelling
जाती,correct spelling
नहीं।,incorrect spelling
सफर,correct spelling
गिर,correct spelling
उधर,correct spelling
टेंट,correct spelling
नौ,correct spelling
खतरा,correct spelling
बहुत,correct spelling
छः,correct spelling
आता,correct spelling
हुआ,correct spelling
उसके,correct spelling
कोई,correct spelling
इतना,correct spelling
लगड़ा,correct spelling
हम,correct spelling
अब,correct spelling
में,correct spelling
हाँ,correct spelling
पाए,correct spelling
रोड,correct spelling
पर,correct spelling
उखाड़,incorrect spelling
जाओ,correct spelling
जनसंख्या,correct spelling
बोहोत,correct spelling
चलना,correct spelling
गया।,incorrect spelling
जनजाति,correct spelling
बताए,incorrect spelling
आएगा,correct spelling
कर,correct spelling
दिया,correct spelling
मिला,correct spelling
हमको,incorrect spelling
हम्म,incorrect spelling
घाटी,correct spelling
से,correct spelling
अजीब,correct spelling
उड़न्टा,incorrect spelling
ना,correct spelling
आए,correct spelling
बढ़ना,correct spelling
हुर,incorrect spelling
बाग,correct spelling
के,correct spelling
सो,correct spelling
जा,correct spelling
ले,correct spelling
तो,correct spelling
ऐसा,correct spelling
जैसे,correct spelling
अ,incorrect spelling
रहेगा,correct spelling
बार,correct spelling
किलोमीटर,correct spelling
बैठे,correct spelling
जुड़ा,correct spelling
होनी,correct spelling
देखिए,correct spelling
गड़ा,correct spelling
भूल,correct spelling
डाल,correct spelling
देखना,correct spelling
घाटे,correct spelling
वगैरा,incorrect spelling
पहली,correct spelling
आग,correct spelling
वहां,correct spelling
शाम,correct spelling
घूमने,correct spelling
अपना,correct spelling
आके,incorrect spelling
अकेली,correct spelling
किये,correct spelling
उपर,correct spelling
गए,correct spelling
सुना,correct spelling
हमारे,correct spelling
जहां,correct spelling
आसपास,correct spelling
हा,incorrect spelling
जब,correct spelling
हैं,correct spelling
आठ,correct spelling
करके,correct spelling
अपनी,incorrect spelling
इधर,correct spelling
है,correct spelling
लिए,correct spelling
आई,correct spelling
जैसी,incorrect spelling
थे,correct spelling
उन,incorrect spelling
ये,correct spelling
चिला,incorrect spelling
डर,correct spelling
उनकी,correct spelling
लेकिन,correct spelling
गार्ड,correct spelling
अगर,correct spelling
करने,correct spelling
भी,correct spelling
न,correct spelling
खंड,correct spelling
क्या,correct spelling
छै,correct spelling
उखाड़,correct spelling
तंबू,correct spelling
वक्त,correct spelling
की,correct spelling
सात,correct spelling
हमने,correct spelling
मम्मी,correct spelling
महसूस,correct spelling
अपने,incorrect spelling
कैम्पिंग,correct spelling
जाओगे,correct spelling
लगा,correct spelling
किए,correct spelling
होता,correct spelling
सायद,incorrect spelling
मजा,correct spelling
"तो,",incorrect spelling
खांड,correct spelling
दुबारा,correct spelling
उठाने,correct spelling
जायेगा,correct spelling
कम,correct spelling
अच्छा,correct spelling
मुझे,correct spelling
देना,correct spelling
खोजने,correct spelling
वहाँ,correct spelling
पहले,correct spelling
लिखना,correct spelling
घर,correct spelling
रहते,correct spelling
"आया,",incorrect spelling
चाहते,correct spelling
बारे,correct spelling
शांति,correct spelling
आ,incorrect spelling
जन,correct spelling
थोड़ा,correct spelling
कुड़रमा,correct spelling
बोल,incorrect spelling
काफी,correct spelling
थे।,incorrect spelling
लेकर,incorrect spelling
उठा,incorrect spelling
तरफ,correct spelling
टैंट,incorrect spelling
बजे,correct spelling
ही,correct spelling
वो,correct spelling
लुढ़क,correct spelling
उससे,incorrect spelling
उनको,correct spelling
सारे,correct spelling
एरिया,correct spelling
करनी,correct spelling
उठते,correct spelling
रही,correct spelling
कहीं,incorrect spelling
जंगन,correct spelling
कैम्प,correct spelling
दिन,correct spelling
बिना,correct spelling
हमारा,correct spelling
वगेरा,correct spelling
किस,incorrect spelling
और,correct spelling
नहीं,correct spelling
उठाएं,incorrect spelling
अनुभव,correct spelling
ऐसे,incorrect spelling
होती,correct spelling
एंटर,correct spelling
चाहिए,correct spelling
थी,correct spelling
गाड़,correct spelling
कुछ,correct spelling
फिर,correct spelling
जो,correct spelling
बाद,correct spelling
आया,incorrect spelling
भाषा,correct spelling
सा,incorrect spelling
दस,correct spelling
लोग,correct spelling
सारा,correct spelling
बारी,correct spelling
